Kshort         Centrality:0-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   CompetMass     Material       Total          
0.65           0.0182011      0.32151        4.38023        0.0874785      1.35183        0.165972       4              6.09531        
0.75           0.03669        0.454063       2.91766        0.095319       1.2889         0.358878       4              5.1497         
0.85           0.0571005      0.396892       2.20136        0.0332977      1.27481        0.306105       4              4.76725        
0.95           0.0366429      0.223689       1.91566        0.0387806      1.31744        0.0343884      4              4.63244        
1.05           0.0776108      0.180867       1.687          0.049521       1.27244        0.296795       4              4.5381         
1.15           0.125355       0.107778       1.88645        0.0659806      1.37982        0.682816       4              4.68621        
1.3            0.144253       0.230561       1.70228        0.037721       1.41894        1.45213        4              4.80575        
1.5            0.0186945      0.0819551      1.22925        0.105068       1.51895        1.70279        4              4.76821        
1.7            0.111538       1.41112        0.409335       0.095358       1.50565        1.3104         4              4.70792        
1.9            0.075644       2.31311        0.820171       0.144809       1.51581        0.737081       4              4.98907        
2.1            0.0329279      2.57397        0.60756        0.151608       1.66564        0.335979       4              5.08977        
2.3            0.0182761      2.16168        0.28936        0.170015       1.57999        0.0557687      4              4.82548        
2.5            0.0166489      2.01677        0.204206       0.187093       1.79694        0.0520161      4              4.83488        
2.7            0.0206653      1.75768        0.130522       0.179105       1.75124        0.0805989      4              4.71299        
3              0.0131504      1.69336        0.196503       0.204387       1.80644        0.120792       4              4.71443        
3.45           0.011682       1.25365        0              0.248025       1.70157        0.104826       4              4.53207        
3.95           0.0144397      0.84444        0.296739       0.32454        1.6517         0.222947       4              4.43672        
4.6            0              0.843763       0.158511       0.264164       1.36115        0.127668       4              4.32156        
5.5            0              0.965218       0.408628       0.296508       1.14333        0.125009       4              4.30225        
7              0              0.92482        0.33976        0.181277       1.51486        0              4              4.39299        
10             0              1.70765        1.88099        0.190081       1.81165        0.567699       4              5.1083         
Lambda         Centrality:0-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           1.60204        0.607516       3.88619        0.296086       0.246406       4              5.84692        
0.75           1.93627        0.47412        3.98328        0.217755       0.666887       4              6.02765        
0.85           1.95488        0.523931       3.77495        0.330422       0.753887       4              5.91809        
0.95           2.13449        0.70457        3.47384        0.735748       1.00583        4              5.88838        
1.05           2.02295        0.748704       2.8668         0.577397       1.02133        4              5.49981        
1.15           2.19393        1.07487        1.85917        0.565828       1.10409        4              5.19273        
1.3            2.27142        1.64553        0.994959       0.161969       1.19597        4              5.12968        
1.5            2.04025        1.02128        0.925029       0.0941768      1.31366        4              4.8781         
1.7            1.57185        0.969301       0.892507       0.0738953      1.14454        4              4.63921        
1.9            1.03204        0.590688       1.05752        0.107093       1.35315        4              4.51385        
2.1            0.327986       0.521047       0.919013       0.159306       1.26267        4              4.34089        
2.3            0.21578        0.39845        1.39388        0.18037        1.37784        4              4.48098        
2.5            0.046583       0.310161       1.53285        0.184439       1.87888        4              4.69172        
2.7            0              0.44825        1.41213        0.168024       1.77579        4              4.6235         
3              0.0242959      0.661294       1.68649        0.146764       1.75022        4              4.72937        
3.45           0              0.805015       1.11779        0.158802       1.74404        4              4.57869        
3.95           0              0.836598       1.05961        0.211282       1.50497        4              4.4869         
4.6            0              0.753096       0.541683       0.220119       2.42843        4              4.77559        
5.5            0              1.39035        1.17784        0.354835       2.5146         4              5.07637        
7              0              1.35797        1.55117        0.554733       3.03584        4              5.45658        
10             0              2.55206        2.74034        0.958116       1.49796        4              5.76059        
AntiLa         Centrality:0-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           1.33212        0.218218       3.83115        0.262214       0.212099       4              5.71083        
0.75           1.59742        0.3531         3.81079        0.191927       0.493731       4              5.78611        
0.85           1.84082        0.585447       3.53293        0.360552       0.670642       4              5.72649        
0.95           1.96318        0.741059       3.56068        0.658288       0.938478       4              5.86479        
1.05           2.06923        0.873368       2.5293         0.640918       1.13638        4              5.39852        
1.15           2.17455        1.00246        1.99559        0.571623       1.16635        4              5.2348         
1.3            2.28119        0.970979       1.04009        0.178723       1.2129         4              4.97308        
