Kshort         Centrality:40-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   CompetMass     Material       Total          
0.65           0.0117239      0.267842       4.78503        0.0939346      1.25738        0.0854914      4              6.3691         
0.75           0.0234037      0.403352       3.39067        0.0845893      1.2101         0.211731       4              5.4015         
0.85           0.0231182      0.261016       2.65339        0.0432996      1.19117        0.166427       4              4.95556        
0.95           0.0237886      0.229127       2.29413        0.0213957      1.26143        0.00922623     4              4.78621        
1.05           0.0483146      0.185338       1.95532        0.0209013      1.21365        0.225141       4              4.62429        
1.15           0.082625       0.116573       2.05725        0.00870682     1.30551        0.586433       4              4.7224         
1.3            0.0903347      0.094368       1.76354        0.0475494      1.35453        1.28595        4              4.75582        
1.5            0.0404843      0.240625       1.39045        0.0518646      1.43555        1.59906        4              4.75535        
1.7            0.0833127      1.10921        0.350473       0.0812347      1.45724        1.20353        4              4.57589        
1.9            0.0606111      1.75943        0.454423       0.109402       1.47465        0.710883       4              4.69017        
2.1            0.0337923      1.99092        0.379112       0.122524       1.62055        0.462742       4              4.79207        
2.3            0.013803       1.49575        0.335838       0.148582       1.50542        0.198629       4              4.54731        
2.5            0.011259       1.48232        0.252791       0.137711       1.7179         0.109001       4              4.60905        
2.7            0.0128452      1.25026        0.314467       0.131219       1.69384        0.0829088      4              4.5338         
3              0.0112128      1.2191         0.461358       0.172731       1.69613        0.272377       4              4.54753        
3.45           0.00734982     0.748942       0.17216        0.166502       1.51599        0.222897       4              4.35503        
3.95           0.022961       0.619418       0.474418       0.191201       1.5922         0.15391        4              4.38231        
4.6            0              0.584152       0.281519       0.285084       1.31646        0.15765        4              4.27314        
5.5            0              0.685596       0.549577       0.18046        1.00158        0.147733       4              4.22251        
7              0              0.847948       0.296243       0.0962216      1.54026        0              4              4.38046        
10             0              1.77254        1.66986        0              1.89171        0.4196         4              5.06803        
