Lambda         Centrality:0-10
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           2.77707        0.818336       6.20076        0.343181       0.32311        4              7.94061        
0.75           2.70271        0.594232       6.14703        0.200537       0.788653       4              7.88073        
0.85           2.50237        0.704385       5.33023        0.433765       0.910016       4              7.22396        
0.95           2.54441        0.946056       5.00725        0.951905       1.06462        4              7.105          
1.05           2.26301        0.893565       3.92677        0.796692       1.19615        4              6.27732        
1.15           2.3663         1.58247        2.5989         0.799962       1.15466        4              5.72984        
1.3            2.2085         2.05398        1.10992        0.39344        1.18318        4              5.28043        
1.5            2.08992        1.42644        0.828917       0.0939251      1.26302        4              4.96927        
1.7            1.71334        1.22415        0.717569       0.0587572      1.02314        4              4.69033        
1.9            1.16805        0.795496       0.688789       0.104075       1.37918        4              4.51493        
2.1            0.506817       0.529093       0.640422       0.16947        1.32106        4              4.32676        
2.3            0.324213       0.42134        1.03315        0.191837       1.39288        4              4.39624        
2.5            0.0695858      0.32699        1.29008        0.185401       1.92722        4              4.63946        
2.7            0.0132432      0.487346       1.34762        0.185828       1.72072        4              4.58794        
3              0.0231116      0.731439       1.66204        0.127426       1.72958        4              4.72288        
3.45           0.0172098      0.850815       0.99005        0.186873       1.83849        4              4.59558        
3.95           0              0.778669       1.12732        0.16261        1.52466        4              4.49758        
4.6            0              0.589258       0.718674       0.157746       2.26767        4              4.69371        
5.5            0              1.50314        1.16415        0.291685       2.72968        4              5.21065        
7              0              1.43035        1.59839        0.399984       2.83323        4              5.36544        
10             0              2.68352        3.65102        0              0.977337       4              6.12262        
