Omega          Centrality:0-10
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
1.05           2.16856        0              3.43729        10.7581        1.24477        4              12.2394        
1.4            0              5.42028        3.85927        13.5375        3.16206        4              15.9228        
1.8            0              3.98066        3.55212        13.9298        0.375133       4              15.4481        
2.1            2.64681        6.23727        5.44678        15.5809        2.91431        4              18.5158        
2.3            5.2041         5.11015        7.30067        14.7831        1.01851        4              18.4953        
2.5            5.68437        6.01288        7.97944        12.7827        2.74478        4              17.8625        
2.7            5.16604        6.11691        3.29666        10.033         1.40081        4              13.9138        
3              1.86821        6.12293        7.43496        9.05183        0.706233       4              13.9533        
3.45           0              3.7841         3.98119        7.58657        1.48014        4              10.2916        
3.95           0              5.1509         2.7954         5.65567        0              4              9.07373        
4.6            0              0              3.66337        5.511          0              4              7.73249        
