Xi             Centrality:0-10
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           2.46119        11.5706        7.89298        3.55924        3.25303        4              15.5399        
0.75           2.52971        3.94259        1.44638        2.89823        0.615081       4              6.98667        
0.85           1.1643         4.75367        0.455298       2.50921        0              4              6.8159         
0.95           0.997642       3.46034        2.02103        1.67826        0.971226       4              6.06743        
1.05           0.571861       1.63469        2.50955        1.75755        1.29785        4              5.48366        
1.15           0.663772       2.07494        0.818819       1.76488        0.520167       4              4.98014        
1.3            0              2.58924        0.780699       1.87132        0.701608       4              5.22568        
1.5            0.982007       1.449          3.14583        1.11905        0.442201       4              5.51435        
1.7            1.00005        1.29605        4.61218        1.16503        0.227682       4              6.43126        
1.9            0.757993       1.23704        1.86635        1.18937        0.562601       4              4.829          
2.1            0.413372       1.26806        0.8368         1.12661        0              4              4.44391        
2.3            0.239985       0.695591       0              1.1379         0.419533       4              4.24409        
2.5            0              1.53122        0.918767       1.17895        0.339125       4              4.54903        
2.7            0.572614       1.12934        1.88819        0.959443       0.125647       4              4.70158        
3              0              1.55686        0.736301       0.955674       0.219308       4              4.46401        
3.45           0              0.80617        0.378354       1.19213        0.647748       4              4.31669        
3.95           0              2.55754        2.15738        0.717814       0              4              5.26408        
4.6            0.257561       2.31574        3.75996        0.69529        0.511214       4              6.02587        
5.5            0              2.77464        1.69181        0.730505       0              4              5.20523        
7              0              3.49267        0              0              0              4              5.31025        
