LKRatio        Centrality:0-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            3.16802        1.43949        0.847641       3.58148        
1.9            3.61462        2.78546        0.872165       4.64596        
2.5            3.37279        2.64512        0.093675       4.28733        
3.25           3.06487        3.53355        0.115929       4.67897        
4.35           2.55993        2.85768        0.0257559      3.8367         
6.5            2.00278        3.01197        0.165107       3.62082        
10             3.30614        0.140158       0.0604244      3.30967        
XKRatio        Centrality:0-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            4.73147        8.58402        9.13956        13.4016        
1.9            4.11292        4.00844        6.34241        8.55628        
2.5            3.18555        2.35374        1.81611        4.3573         
3.25           2.70645        5.50898        1.31333        6.27683        
4.35           4.84638        1.0293         0.242623       4.96042        
6.5            3.99555        5.95567        0.971688       7.23731        
OKRatio        Centrality:0-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.55           9.76805        0.486076       4.08768        10.6           
2.5            15.0305        1.47071        0.00175854     15.1023        
3.25           10.8164        1.47626        6.95011        12.9413        
4.35           7.43396        0.322772       0.314479       7.4476         
XLRatio        Centrality:0-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            4.09293        2.65518        9.9212         11.0559        
1.9            3.61704        3.87136        7.04415        8.81422        
2.5            2.76074        0.553842       1.91217        3.40365        
3.25           2.47805        1.31152        1.41935        3.14251        
4.35           4.90015        1.53176        0.217775       5.1386         
6.5            3.73224        2.64186        0.80627        4.64317        
OLRatio        Centrality:0-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.55           9.62803        0.4407         3.58824        10.2844        
2.5            14.9463        4.98062        0.0919229      15.7546        
3.25           10.7704        1.12168        6.78302        12.7777        
4.35           7.46534        3.04816        0.291048       8.06891        
OXRatio        Centrality:0-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.55           9.88895        0.370943       11.0961        14.8678        
2.5            14.908         3.81745        1.81288        15.4954        
3.25           10.6696        0.131068       8.51822        13.6535        
4.35           8.56557        1.71882        0.0811636      8.7367         
